alat,energy
1.889795636,74.64174793
1.969795636,63.37585277
2.049795636,51.25678506
2.129795636,39.59129633
2.209795636,28.83048917
2.289795636,19.1199878
2.369795636,10.5650307
2.449795636,3.18343339
2.529795636,-3.0377326
2.609795636,-8.17860553
2.689795636,-12.36321381
2.726462303,-13.98969677
2.763128969,-15.44894372
2.799795636,-16.74691284
2.836462303,-17.90344539
2.873128969,-18.92712074
2.909795636,-19.831432
2.946462303,-20.62366778
2.983128969,-21.30900777
3.019795636,-21.89530619
3.056462303,-22.38673769
3.093128969,-22.78962579
3.129795636,-23.11228871
3.166462303,-23.35786744
3.203128969,-23.53679705
3.239795636,-23.65428815
3.276462303,-23.7130077
3.295625,-23.72111354
3.313128969,-23.71627091
3.349795636,-23.67201092
3.386462303,-23.58455842
3.423128969,-23.45732376
3.459795636,-23.29334916
3.496462303,-23.09657495
3.533128969,-22.87063669
3.569795636,-22.61839267
3.606462303,-22.34257054
3.643128969,-22.04585904
3.679795636,-21.73083407
3.716462303,-21.39996375
3.753128969,-21.05551531
3.789795636,-20.69954395
3.826462303,-20.33395142
3.863128969,-19.960496
3.899795636,-19.58073828
3.936462303,-19.19614273
3.973128969,-18.80805758
4.009795636,-18.41769375
4.046462303,-18.02619894
4.083128969,-17.6346281
4.119795636,-17.24390606
4.156462303,-16.8549111
4.193128969,-16.46845272
4.229795636,-16.08523566
4.266462303,-15.70592238
4.303128969,-15.33111707
4.339795636,-14.96130995
4.376462303,-14.59697002
4.413128969,-14.23848667
4.449795636,-13.88618151
4.486462303,-13.54036786
4.523128969,-13.20131983
4.559795636,-12.8692532
4.596462303,-12.54438204
4.633128969,-12.22690293
4.669795636,-11.91694922
4.706462303,-11.61465554
4.743128969,-11.32013388
4.779795636,-11.03345335
4.816462303,-10.75471157
4.853128969,-10.48397706
4.889795636,-10.22127814
5.026637741,-9.31204565
5.163479846,-8.51453727
5.300321952,-7.82641579
5.437164057,-7.24281303
5.574006162,-6.75707577
5.710848268,-6.35477817
5.847690373,-6.01874986
5.984532478,-5.73832073
6.121374583,-5.50477112
6.258216689,-5.31072927
6.395058794,-5.14986486
6.531900899,-5.0161029
6.668743004,-4.90832188
6.80558511,-4.8202798
7.07926932,-4.62898039
7.216111425,-4.61623156
7.352953531,-4.61442688
7.489795636,-4.56932887
