r,E,F
0.01,5436.007065,574429.8324
0.0795,482.7803356,8224.925023
0.149,193.9053663,2034.509365
0.2185,103.1730578,822.1181014
0.288,62.41623172,412.6058408
0.3575,40.70863315,233.8106968
0.427,27.93319507,143.1522733
0.4965,19.90208398,92.51993389
0.566,14.60783731,62.27674696
0.6355,10.98797695,43.29159778
0.705,8.439018148,30.90265563
0.7745,6.599580678,22.55902028
0.844,5.244132128,16.78868027
0.9135,4.227112385,12.70567288
0.983,3.451887469,9.758087431
1.0525,2.852724117,7.592011684
1.122,2.38394071,5.974763537
1.1915,2.013177308,4.749965505
1.261,1.717111321,3.810433267
1.3305,1.478667515,3.081376989
1.4,1.28516407,2.311380091
1.416161616,1.247142895,2.39034878
1.432323232,1.208008771,2.449196462
1.448484848,1.168081104,2.488725483
1.464646465,1.127662471,2.510194507
1.480808081,1.087032289,2.515189512
1.496969697,1.046442541,2.505499959
1.513131313,1.006115396,2.483008832
1.529292929,0.966242466,2.449601349
1.545454545,0.926985364,2.407094064
1.561616162,0.888477258,2.357183849
1.577777778,0.850825094,2.301414807
1.593939394,0.814112225,2.241160342
1.61010101,0.778401232,2.177617364
1.626262626,0.743736764,2.111809637
1.642424242,0.710148257,2.044597566
1.658585859,0.677652473,1.97669212
1.674747475,0.646255781,1.908671025
1.690909091,0.615956175,1.840995797
1.707070707,0.586745017,1.774028559
1.723232323,0.558608511,1.708047925
1.739393939,0.531528933,1.643263515
1.755555556,0.505485643,1.579828853
1.771717172,0.480455895,1.517852569
1.787878788,0.456415485,1.457407937
1.804040404,0.433339257,1.398540836
1.82020202,0.411201489,1.341276294
1.836363636,0.389976186,1.285623768
1.852525253,0.369637298,1.231581336
1.868686869,0.350158875,1.179138966
1.884848485,0.331515179,1.128281016
1.901010101,0.313680754,1.078988108
1.917171717,0.296630481,1.031238495
1.933333333,0.280339603,0.985009029
1.949494949,0.264783745,0.940275821
1.965656566,0.249938919,0.897014665
1.981818182,0.235781532,0.85520128
1.997979798,0.222288381,0.814811436
2.014141414,0.209436654,0.775820981
2.03030303,0.19720393,0.73820582
2.046464646,0.185568177,0.701941852
2.062626263,0.174507752,0.667004888
2.078787879,0.164001405,0.63337057
2.094949495,0.154028282,0.601014289
2.111111111,0.14456793,0.569911109
2.127272727,0.135600299,0.540035714
2.143434343,0.127105754,0.511362357
2.15959596,0.11906508,0.483864835
2.175757576,0.111459488,0.457516475
2.191919192,0.104270624,0.432290134
2.208080808,0.097480577,0.408158216
2.224242424,0.091071886,0.385092695
2.24040404,0.085027545,0.363065155
2.256565657,0.07933101,0.342046835
2.272727273,0.073966205,0.322008681
2.288888889,0.068917526,0.302921404
2.305050505,0.064169842,0.284755545
2.321212121,0.059708502,0.267481535
2.337373737,0.055519329,0.251069768
2.353535354,0.05158863,0.235490661
2.36969697,0.047903183,0.220714727
2.385858586,0.044450247,0.206712636
2.402020202,0.041217551,0.193455279
2.418181818,0.038193291,0.180913829
2.434343434,0.035366128,0.169059801
2.450505051,0.03272518,0.157865101
2.466666667,0.030260015,0.147302081
2.482828283,0.027960644,0.137343584
2.498989899,0.014948358,0.074090657
2.515151515,0,0
2.531313131,0,0
2.547474747,0,0
2.563636364,0,0
2.57979798,0,0
2.595959596,0,0
2.612121212,0,0
2.628282828,0,0
2.644444444,0,0
2.660606061,0,0
2.676767677,0,0
2.692929293,0,0
2.709090909,0,0
2.725252525,0,0
2.741414141,0,0
2.757575758,0,0
2.773737374,0,0
2.78989899,0,0
2.806060606,0,0
2.822222222,0,0
2.838383838,0,0
2.854545455,0,0
2.870707071,0,0
2.886868687,0,0
2.903030303,0,0
2.919191919,0,0
2.935353535,0,0
2.951515152,0,0
2.967676768,0,0
2.983838384,0,0
3,0,0
